Seed,Model,Outlier_Mode,CV_R2_Mean,External_R2,External_RMSE,External_MAE
0,Ridge,winsorize_1_99,0.7792770717156984,0.5846262748712041,102.10831666703109,57.752951968679774
0,ExtraTrees,winsorize_1_99,0.8186526363193822,0.7380080417379699,81.09341437230529,39.301210144927545
0,KNN,none,0.8170640475182891,0.6111455612245331,98.79503883960388,46.80268115942029
0,MLP,winsorize_1_99,0.8196434639379427,0.8188212828523158,67.43652702097964,35.941709436786056
1,Ridge,winsorize_1_99,0.6341533272743376,0.5846262748712041,102.10831666703109,57.752951968679774
1,ExtraTrees,winsorize_1_99,0.5070506607826346,0.6822590792735566,89.305494739318,42.46036666666669
1,KNN,none,0.690295960540974,0.6111455612245331,98.79503883960388,46.80268115942029
1,MLP,winsorize_1_99,0.7645905197371131,0.8279602965242718,65.71370420810595,36.35310902981153
2,Ridge,winsorize_1_99,0.7748427009203942,0.5846262748712041,102.10831666703109,57.752951968679774
2,ExtraTrees,winsorize_1_99,0.7327312527582064,0.7348622594241714,81.57881291175703,40.63368550724638
2,KNN,none,0.676282332877895,0.6111455612245331,98.79503883960388,46.80268115942029
2,MLP,winsorize_1_99,0.8218270966442184,0.8108894709853859,68.89686498744139,35.71847589501778
3,Ridge,winsorize_1_99,0.8223996106488313,0.5846262748712041,102.10831666703109,57.752951968679774
3,ExtraTrees,winsorize_1_99,0.8443701739884218,0.7339923739369596,81.7125285311335,39.948159420289855
3,KNN,none,0.8089145020062471,0.6111455612245331,98.79503883960388,46.80268115942029
3,MLP,winsorize_1_99,0.8482850896794869,0.8188944828097993,67.42290276729726,35.77753364061535
4,Ridge,winsorize_1_99,0.853619893379743,0.5846262748712041,102.10831666703109,57.752951968679774
4,ExtraTrees,winsorize_1_99,0.8449638568480646,0.7364645987512841,81.3319317371738,40.60128405797103
4,KNN,none,0.7798445139541359,0.6111455612245331,98.79503883960388,46.80268115942029
4,MLP,winsorize_1_99,0.8718285761915485,0.8240718286582451,66.45219031007397,34.924112447803196
5,Ridge,winsorize_1_99,0.8220555978846986,0.5846262748712041,102.10831666703109,57.752951968679774
5,ExtraTrees,winsorize_1_99,0.8319160504855116,0.712348716404366,84.97178940408331,42.329081159420284
5,KNN,none,0.7993095574699292,0.6111455612245331,98.79503883960388,46.80268115942029
5,MLP,winsorize_1_99,0.8500667469862917,0.8102832649124141,69.00720331988833,35.193395471724806
6,Ridge,winsorize_1_99,0.8084284495545745,0.5846262748712041,102.10831666703109,57.752951968679774
6,ExtraTrees,winsorize_1_99,0.7838185897537336,0.7180026179711141,84.13256779660477,41.545830434782616
6,KNN,none,0.7443199790793389,0.6111455612245331,98.79503883960388,46.80268115942029
6,MLP,winsorize_1_99,0.8365289878300768,0.8240213567494991,66.46172183745752,34.84743014805116
7,Ridge,winsorize_1_99,0.7698546488006779,0.5846262748712041,102.10831666703109,57.752951968679774
7,ExtraTrees,winsorize_1_99,0.7246062020525285,0.7635592720416106,77.0376009434806,38.58446666666668
7,KNN,none,0.692414072323879,0.6111455612245331,98.79503883960388,46.80268115942029
7,MLP,winsorize_1_99,0.8113862948205981,0.8192275171771201,67.36088235971852,34.54466299696005
8,Ridge,winsorize_1_99,0.8088978411215418,0.5846262748712041,102.10831666703109,57.752951968679774
8,ExtraTrees,winsorize_1_99,0.8176572972319903,0.7099228181251169,85.3293406276087,42.623024637681176
8,KNN,none,0.774003316402772,0.6111455612245331,98.79503883960388,46.80268115942029
8,MLP,winsorize_1_99,0.8478886559220931,0.7867468098409738,73.162641026924,36.23436662100487
9,Ridge,winsorize_1_99,0.7410783903081836,0.5846262748712041,102.10831666703109,57.752951968679774
9,ExtraTrees,winsorize_1_99,0.6755239248112457,0.6808608138938581,89.50177997454111,44.039300000000026
9,KNN,none,0.7136803708874367,0.6111455612245331,98.79503883960388,46.80268115942029
9,MLP,winsorize_1_99,0.7963697480449653,0.810526709735507,68.9629140295251,35.971837191100406
10,Ridge,winsorize_1_99,0.6982057299692095,0.5846262748712041,102.10831666703109,57.752951968679774
10,ExtraTrees,winsorize_1_99,0.6345229432755529,0.7474065190543201,79.62559210999838,39.42971304347828
10,KNN,none,0.6890817712402206,0.6111455612245331,98.79503883960388,46.80268115942029
10,MLP,winsorize_1_99,0.7682044633374243,0.8296035039787625,65.39912470626803,35.45678437685812
11,Ridge,winsorize_1_99,0.7525546174254419,0.5846262748712041,102.10831666703109,57.752951968679774
11,ExtraTrees,winsorize_1_99,0.6695577411219528,0.71510203568046,84.5641482574654,42.20414637681162
11,KNN,none,0.679485404818592,0.6111455612245331,98.79503883960388,46.80268115942029
11,MLP,winsorize_1_99,0.7956561540776746,0.8298290341876078,65.35583050043057,34.284084914985804
12,Ridge,winsorize_1_99,0.7641558916663913,0.5846262748712041,102.10831666703109,57.752951968679774
12,ExtraTrees,winsorize_1_99,0.7360431403669964,0.6916491903672793,87.97598792693712,42.837750724637694
12,KNN,none,0.7514721637031279,0.6111455612245331,98.79503883960388,46.80268115942029
12,MLP,winsorize_1_99,0.8196231561447851,0.818572611566073,67.4827901196433,35.05846812780776
13,Ridge,winsorize_1_99,0.8165248978140056,0.5846262748712041,102.10831666703109,57.752951968679774
13,ExtraTrees,winsorize_1_99,0.8389600560668576,0.7064595926574749,85.83720190426797,41.609653623188414
13,KNN,none,0.8235731200172725,0.6111455612245331,98.79503883960388,46.80268115942029
13,MLP,winsorize_1_99,0.849630727755914,0.8201870786188556,67.18186476850964,39.08408305254795
14,Ridge,winsorize_1_99,0.8251985007062317,0.5846262748712041,102.10831666703109,57.752951968679774
14,ExtraTrees,winsorize_1_99,0.8051573921291932,0.6653724984377107,91.6478795820034,43.65468695652174
14,KNN,none,0.7581428738011041,0.6111455612245331,98.79503883960388,46.80268115942029
14,MLP,winsorize_1_99,0.8658587802610569,0.8254630995876606,66.18891095620187,35.40982972124109
15,Ridge,winsorize_1_99,0.8161005304931198,0.5846262748712041,102.10831666703109,57.752951968679774
15,ExtraTrees,winsorize_1_99,0.8432494941999664,0.6812104680693709,89.4527367218076,43.46621884057973
15,KNN,none,0.8099428802039128,0.6111455612245331,98.79503883960388,46.80268115942029
15,MLP,winsorize_1_99,0.8521250730047388,0.8357394465917849,64.2108245329723,34.52163311285429
16,Ridge,winsorize_1_99,0.48366674321072906,0.5846262748712041,102.10831666703109,57.752951968679774
16,ExtraTrees,winsorize_1_99,0.3285139946494353,0.6951714850871713,87.47206938376456,43.51243333333335
16,KNN,none,0.5410792288875506,0.6111455612245331,98.79503883960388,46.80268115942029
16,MLP,winsorize_1_99,0.600152228408211,0.8156649875014349,68.02139311408962,35.90518642752961
17,Ridge,winsorize_1_99,0.7650083733336346,0.5846262748712041,102.10831666703109,57.752951968679774
17,ExtraTrees,winsorize_1_99,0.7264528683275719,0.7285962874873011,82.53715556392018,40.51927971014494
17,KNN,none,0.7279442494234266,0.6111455612245331,98.79503883960388,46.80268115942029
17,MLP,winsorize_1_99,0.8183083505538944,0.8088551604532133,69.2664443671784,36.203256975025816
18,Ridge,winsorize_1_99,0.7280465161603153,0.5846262748712041,102.10831666703109,57.752951968679774
18,ExtraTrees,winsorize_1_99,0.6711317588931348,0.732729372220041,81.90628397626426,40.832082608695664
18,KNN,none,0.7234292675704443,0.6111455612245331,98.79503883960388,46.80268115942029
18,MLP,winsorize_1_99,0.7867377842617103,0.8099077007142715,69.07547305232274,36.43562323334792
19,Ridge,winsorize_1_99,0.7834589722610785,0.5846262748712041,102.10831666703109,57.752951968679774
19,ExtraTrees,winsorize_1_99,0.787316648702952,0.6986549524592809,86.97083407994741,42.82731594202898
19,KNN,none,0.7359358993263736,0.6111455612245331,98.79503883960388,46.80268115942029
19,MLP,winsorize_1_99,0.8332809292385805,0.8199990097311215,67.21698881988047,36.03943982772985
20,Ridge,winsorize_1_99,0.7202606378595114,0.5846262748712041,102.10831666703109,57.752951968679774
20,ExtraTrees,winsorize_1_99,0.6667457507557805,0.7298975698373832,82.33904995713974,41.02323478260872
20,KNN,none,0.6987968231275234,0.6111455612245331,98.79503883960388,46.80268115942029
20,MLP,winsorize_1_99,0.7815223350181781,0.8274506753168072,65.81096179652936,37.707675804807536
21,Ridge,winsorize_1_99,0.8241116325024569,0.5846262748712041,102.10831666703109,57.752951968679774
21,ExtraTrees,winsorize_1_99,0.8272149481956053,0.7287304530130869,82.51675236154142,41.04648405797103
21,KNN,none,0.818643575536339,0.6111455612245331,98.79503883960388,46.80268115942029
21,MLP,winsorize_1_99,0.85895666241276,0.8402857023450306,63.31600488173178,35.4851659255519
22,Ridge,winsorize_1_99,0.8035210109855704,0.5846262748712041,102.10831666703109,57.752951968679774
22,ExtraTrees,winsorize_1_99,0.7954266900964562,0.6584345076944931,92.59309480198448,44.450347826086976
22,KNN,none,0.7999269923533503,0.6111455612245331,98.79503883960388,46.80268115942029
22,MLP,winsorize_1_99,0.8447880141555719,0.8247755738533004,66.31914660644584,37.39145757350277
23,Ridge,winsorize_1_99,0.7348029768454867,0.5846262748712041,102.10831666703109,57.752951968679774
23,ExtraTrees,winsorize_1_99,0.6127191076331513,0.7125416705103149,84.94328543585739,42.01785942028986
23,KNN,none,0.6831410089828948,0.6111455612245331,98.79503883960388,46.80268115942029
23,MLP,winsorize_1_99,0.7894536975772757,0.8228943558688305,66.67419898178446,35.25120085624835
24,Ridge,winsorize_1_99,0.6188474230777802,0.5846262748712041,102.10831666703109,57.752951968679774
24,ExtraTrees,winsorize_1_99,0.6596375925600035,0.7109245921173325,85.18187186993711,41.16902898550727
24,KNN,none,0.7824461281070338,0.6111455612245331,98.79503883960388,46.80268115942029
24,MLP,winsorize_1_99,0.687175675209158,0.8151045294367736,68.1247218417433,35.55623208998085
25,Ridge,winsorize_1_99,0.8677387109601721,0.5846262748712041,102.10831666703109,57.752951968679774
25,ExtraTrees,winsorize_1_99,0.851880074463646,0.7443023727878316,80.11336151214785,39.170801449275366
25,KNN,none,0.7878890607021731,0.6111455612245331,98.79503883960388,46.80268115942029
25,MLP,winsorize_1_99,0.8807984551326525,0.8216177648035592,66.91406388651873,36.51525082902422
26,Ridge,winsorize_1_99,0.8048456514229162,0.5846262748712041,102.10831666703109,57.752951968679774
26,ExtraTrees,winsorize_1_99,0.81820652921279,0.6993271161131063,86.87378375649355,42.17874347826087
26,KNN,none,0.7738067585861396,0.6111455612245331,98.79503883960388,46.80268115942029
26,MLP,winsorize_1_99,0.8324416380842061,0.8258143688148366,66.12227221818137,36.036014072439464
27,Ridge,winsorize_1_99,0.817175121533683,0.5846262748712041,102.10831666703109,57.752951968679774
27,ExtraTrees,winsorize_1_99,0.8193312228048686,0.6964437993360861,87.28933002817685,43.508386956521754
27,KNN,none,0.7626436904473901,0.6111455612245331,98.79503883960388,46.80268115942029
27,MLP,winsorize_1_99,0.8362636282007958,0.8409070714441673,63.192719271884215,34.513227677184815
28,Ridge,winsorize_1_99,0.8142939317632724,0.5846262748712041,102.10831666703109,57.752951968679774
28,ExtraTrees,winsorize_1_99,0.8118315519246522,0.6913621140170249,88.01693147101246,43.51683333333335
28,KNN,none,0.7748191885311299,0.6111455612245331,98.79503883960388,46.80268115942029
28,MLP,winsorize_1_99,0.836389454377421,0.8216941804740908,66.89972997378159,35.8282860206404
29,Ridge,winsorize_1_99,0.8188712917517122,0.5846262748712041,102.10831666703109,57.752951968679774
29,ExtraTrees,winsorize_1_99,0.831066623603007,0.7216241676955192,83.59058607016308,41.087539130434806
29,KNN,none,0.7768725889354381,0.6111455612245331,98.79503883960388,46.80268115942029
29,MLP,winsorize_1_99,0.8572967576650118,0.8346833263002373,64.4169169225161,34.57286230130899
